Name,crossing_number,jones_polynomial,hyperbolic_volume,meridian_length,mosaic_num,tile_num,image_filename_matched,image_url_matched
8_2,8,1-t+ 2*t^2-2*t^3+ 3*t^4-3*t^5+ 2*t^6-2*t^7+ t^8,4.9352426782,1.358234792,6,22,8_2.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/8_02.png
8_3,8,t^(-4)-t^(-3)+ 2*t^(-2)-3*t^(-1)+ 3-3*t+ 2*t^2-t^3+ t^4,5.2386841007,1.526793485,6,22,8_3.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/8_03-mt.png
8_4,8,t^(-5)-2*t^(-4)+ 3*t^(-3)-3*t^(-2)+ 3*t^(-1)-3+ 2*t^1-t^2+ t^3,5.5004864163,1.509575017,6,22,8_4.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/8_04.png
8_5,8,1-t+ 3*t^2-3*t^3+ 3*t^4-4*t^5+ 3*t^6-2*t^7+ t^8,6.9971891477,1.605392576,6,24,8_5.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/8_05.png
8_6,8,t^(-1)-1+ 3*t-4*t^2+ 4*t^3-4*t^4+ 3*t^5-2*t^6+ t^7,7.4752374295,1.249647638,6,24,8_6.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/8_06-mt.png
8_7,8,-t^(-6)+ 2*t^(-5)-3*t^(-4)+ 4*t^(-3)-4*t^(-2)+ 4*t^(-1)-2+ 2*t-t^2,7.0221965890,1.252113801,6,22,8_7.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/8_07-mt.png
8_8,8,-t^(-5)+ 2*t^(-4)-3*t^(-3)+ 4*t^(-2)-4*t^(-1)+ 5-3*t+ 2*t^2-t^3,7.8013412244,1.270489558,6,22,8_8.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/8_08-mt.png
8_9,8,t^(-4)-2*t^(-3)+ 3*t^(-2)-4*t^(-1)+ 5-4*t+ 3*t^2-2*t^3+ t^4,7.5881802236,1.420609157,6,22,8_9.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/8_09-mt.png
8_10,8,-t^(-6)+ 2*t^(-5)-4*t^(-4)+ 5*t^(-3)-4*t^(-2)+ 5*t^(-1)-3+ 2*t-t^2,8.6511485580,1.331925523,6,24,8_10.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/8_10.png
8_11,8,t^(-1)-2+ 4*t-4*t^2+ 5*t^3-5*t^4+ 3*t^5-2*t^6+ t^7,8.2863168178,1.276111205,6,24,8_11.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/8_11.png
8_12,8,t^(-4)-2*t^(-3)+ 4*t^(-2)-5*t^(-1)+ 5-5*t+ 4*t^2-2*t^3+ t^4,8.9358569274,1.232599323,6,24,8_12.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/8_12.png
8_13,8,-t^(-5)+ 2*t^(-4)-3*t^(-3)+ 5*t^(-2)-5*t^(-1)+ 5-4*t+ 3*t^2-t^3,8.5312322014,1.266676992,6,22,8_13.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/8_13.png
8_14,8,t^(-1)-2+ 4*t-5*t^2+ 6*t^3-5*t^4+ 4*t^5-3*t^6+ t^7,9.2178003160,1.234787552,6,24,8_14.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/8_14.png
8_15,8,t^2-2*t^3+ 5*t^4-5*t^5+ 6*t^6-6*t^7+ 4*t^8-3*t^9+ t^10,9.9306482937,1.302105119,6,27,8_15.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/8_15.png
8_16,8,-t^(-6)+ 3*t^(-5)-5*t^(-4)+ 6*t^(-3)-6*t^(-2)+ 6*t^(-1)-4+ 3*t-t^2,10.5790219168,1.500953227,6,24,8_16.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/8_16.png
8_17,8,t^(-4)-3*t^(-3)+ 5*t^(-2)-6*t^(-1)+ 7-6*t+ 5*t^2-3*t^3+ t^4,10.9859076062,1.429835096,6,24,8_17.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/8_17.png
8_18,8,t^(-4)-4*t^(-3)+ 6*t^(-2)-7*t^(-1)+ 9-7*t+ 6*t^2-4*t^3+ t^4,12.3509062091,1.553773974,6,24,8_18.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/8_18.png
8_19,8,t^3+ t^5-t^8,0,Not Hyperbolic,6,24,8_19.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/8_19.png
8_20,8,-t^(-5)+ t^(-4)-t^(-3)+ 2*t^(-2)-t^(-1)+ 2-t,4.1249032518,1.576434832,6,24,8_20.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/8_20.png
8_21,8,2*t-2*t^2+ 3*t^3-3*t^4+ 2*t^5-2*t^6+ t^7,6.7837135198,1.372298621,6,24,8_21.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/8_21.png
9_1,9,t^4+ t^6-t^7+ t^8-t^9+ t^10-t^11+ t^12-t^13,0,Not Hyperbolic,6,27,9_01.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_01.png
9_2,9,t-t^2+ 2*t^3-2*t^4+ 2*t^5-2*t^6+ 2*t^7-t^8+ t^9-t^10,3.4866601462,1.352656334,6,27,9_02.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_02.png
9_3,9,t^3-t^4+ 2*t^5-2*t^6+ 3*t^7-3*t^8+ 3*t^9-2*t^10+ t^11-t^12,4.9948564041,1.374882702,6,27,9_03.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_03-mt.png
9_4,9,t^2-t^3+ 2*t^4-3*t^5+ 4*t^6-3*t^7+ 3*t^8-2*t^9+ t^10-t^11,5.5565188163,1.530728096,6,27,9_04.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_04-mt.png
9_5,9,t-2*t^2+ 3*t^3-3*t^4+ 4*t^5-3*t^6+ 3*t^7-2*t^8+ t^9-t^10,5.6984417509,1.5227712,6,22,9_05.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_05.png
9_6,9,t^3-t^4+ 3*t^5-3*t^6+ 4*t^7-5*t^8+ 4*t^9-3*t^10+ 2*t^11-t^12,7.2036007616,1.258916899,7,27,9_06.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_06.png
9_7,9,t^2-t^3+ 3*t^4-4*t^5+ 5*t^6-5*t^7+ 4*t^8-3*t^9+ 2*t^10-t^11,8.0148614578,1.290477673,6,27,9_07.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_07-mt.png
9_8,9,t^(-3)-2*t^(-2)+ 3*t^(-1)-4+ 5*t-5*t^2+ 5*t^3-3*t^4+ 2*t^5-t^6,8.1923479624,1.308048253,6,24,9_08.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_08.png
9_9,9,t^3-t^4+ 3*t^5-4*t^6+ 5*t^7-5*t^8+ 5*t^9-4*t^10+ 2*t^11-t^12,8.0168155656,1.413912351,6,27,9_09.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_09-mt.png
9_10,9,t^2-2*t^3+ 4*t^4-5*t^5+ 6*t^6-5*t^7+ 5*t^8-3*t^9+ t^10-t^11,8.7734572820,1.372323578,6,27,9_10.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_10-m.png
9_11,9,-t^(-9)+ 2*t^(-8)-4*t^(-7)+ 5*t^(-6)-5*t^(-5)+ 6*t^(-4)-4*t^(-3)+ 3*t^(-2)-2*t^(-1)+ 1,8.2885890428,1.257193895,6,24,9_11.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_11.png
9_12,9,t^(-1)-2+ 4*t-5*t^2+ 6*t^3-6*t^4+ 5*t^5-3*t^6+ 2*t^7-t^8,8.8366423438,1.28084975,6,24,9_12.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_12-mt.png
9_13,9,t^2-2*t^3+ 4*t^4-5*t^5+ 7*t^6-6*t^7+ 5*t^8-4*t^9+ 2*t^10-t^11,9.1350940379,1.381511113,6,27,9_13.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_13-mt.png
9_14,9,t^(-6)-2*t^(-5)+ 3*t^(-4)-5*t^(-3)+ 6*t^(-2)-6*t^(-1)+ 6-4*t+ 3*t^2-t^3,8.9549892620,1.277110989,6,24,9_14.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_14.png
9_15,9,-t^(-8)+ 2*t^(-7)-4*t^(-6)+ 6*t^(-5)-6*t^(-4)+ 7*t^(-3)-6*t^(-2)+ 4*t^(-1)-2+ t,9.8854986603,1.245774125,7,27,9_15.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_15-mt.png
9_16,9,t^3-t^4+ 4*t^5-5*t^6+ 6*t^7-7*t^8+ 6*t^9-5*t^10+ 3*t^11-t^12,9.8830069600,1.3945288,6,29,9_16.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_16-m.png
9_17,9,t^(-3)-2*t^(-2)+ 4*t^(-1)-5+ 6*t-7*t^2+ 6*t^3-4*t^4+ 3*t^5-t^6,9.4745804534,1.332953362,6,24,9_17.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_17.png
9_18,9,t^2-2*t^3+ 5*t^4-6*t^5+ 7*t^6-7*t^7+ 6*t^8-4*t^9+ 2*t^10-t^11,10.0577296355,1.239739028,7,27,9_18.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_18.png
9_19,9,t^(-4)-2*t^(-3)+ 4*t^(-2)-6*t^(-1)+ 7-7*t+ 6*t^2-4*t^3+ 3*t^4-t^5,10.0325474478,1.254470298,6,24,9_19.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_19-mt.png
9_20,9,1-2*t+ 4*t^2-5*t^3+ 7*t^4-7*t^5+ 6*t^6-5*t^7+ 3*t^8-t^9,9.6443040738,1.307595118,6,22,9_20.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_20.png
9_21,9,-t^(-8)+ 2*t^(-7)-4*t^(-6)+ 6*t^(-5)-7*t^(-4)+ 8*t^(-3)-6*t^(-2)+ 5*t^(-1)-3+ t,10.1832655356,1.241175713,6,24,9_21.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_21-mt.png
9_22,9,t^(-3)-2*t^(-2)+ 4*t^(-1)-6+ 7*t-7*t^2+ 7*t^3-5*t^4+ 3*t^5-t^6,10.6207270212,1.318188233,7,29,9_22.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_22.png
9_23,9,t^2-2*t^3+ 5*t^4-6*t^5+ 8*t^6-8*t^7+ 6*t^8-5*t^9+ 3*t^10-t^11,10.6113482940,1.246574136,6,24,9_23.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_23.png
9_24,9,t^(-4)-3*t^(-3)+ 5*t^(-2)-7*t^(-1)+ 8-7*t+ 7*t^2-4*t^3+ 2*t^4-t^5,10.8337291089,1.309348624,6,27,9_24.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_24-mt.png
9_25,9,t^(-1)-2+ 5*t-7*t^2+ 8*t^3-8*t^4+ 7*t^5-5*t^6+ 3*t^7-t^8,11.3903051477,1.274098713,7,29,9_25.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_25.png
9_26,9,t^(-7)-3*t^(-6)+ 5*t^(-5)-7*t^(-4)+ 8*t^(-3)-8*t^(-2)+ 7*t^(-1)-4+ 3*t-t^2,10.5958405149,1.257366186,6,24,9_26.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_26-mt.png
9_27,9,t^(-4)-3*t^(-3)+ 5*t^(-2)-7*t^(-1)+ 9-8*t+ 7*t^2-5*t^3+ 3*t^4-t^5,10.9999809582,1.253057048,6,24,9_27.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_27.png
9_28,9,-t^(-2)+ 3*t^(-1)-5+ 8*t-8*t^2+ 9*t^3-8*t^4+ 5*t^5-3*t^6+ t^7,11.5631770162,1.312281908,6,27,9_28.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_28.png
9_29,9,-t^(-6)+ 3*t^(-5)-6*t^(-4)+ 8*t^(-3)-8*t^(-2)+ 9*t^(-1)-7+ 5*t-3*t^2+ t^3,12.2058561651,1.495815578,7,29,9_29.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_29-mt.png
9_30,9,-t^(-5)+ 3*t^(-4)-5*t^(-3)+ 8*t^(-2)-9*t^(-1)+ 9-8*t+ 6*t^2-3*t^3+ t^4,11.9545269682,1.289552128,7,29,9_30.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_30.png
9_31,9,-t^(-2)+ 3*t^(-1)-5+ 8*t-9*t^2+ 10*t^3-8*t^4+ 6*t^5-4*t^6+ t^7,11.6863122078,1.260230911,6,24,9_31.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_31.png
9_32,9,t^(-7)-3*t^(-6)+ 6*t^(-5)-9*t^(-4)+ 10*t^(-3)-10*t^(-2)+ 9*t^(-1)-6+ 4*t-t^2,13.0998998458,1.31259178,7,29,9_32.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_32.png
9_33,9,-t^(-5)+ 3*t^(-4)-6*t^(-3)+ 9*t^(-2)-10*t^(-1)+ 11-9*t+ 7*t^2-4*t^3+ t^4,13.2804556362,1.315237109,7,29,9_33.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_33.png
9_34,9,-t^(-5)+ 4*t^(-4)-7*t^(-3)+ 10*t^(-2)-12*t^(-1)+ 12-10*t^1+ 8*t^2-4*t^3+ t^4,14.3445813877,1.437422965,7,29,9_34.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_34.png
9_35,9,t-2*t^2+ 3*t^3-4*t^4+ 5*t^5-3*t^6+ 4*t^7-3*t^8+ t^9-t^10,7.9405792477,1.664119093,6,29,9_35.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_35-m.png
9_36,9,-t^(-9)+ 2*t^(-8)-4*t^(-7)+ 6*t^(-6)-6*t^(-5)+ 6*t^(-4)-5*t^(-3)+ 4*t^(-2)-2*t^(-1)+ 1,9.8845786531,1.303495634,7,29,9_36.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_36.png
9_37,9,t^(-4)-2*t^(-3)+ 5*t^(-2)-7*t^(-1)+ 7-8*t+ 7*t^2-4*t^3+ 3*t^4-t^5,10.9894495925,1.334147304,6,27,9_37.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_37-mt.png
9_38,9,t^2-3*t^3+ 7*t^4-8*t^5+ 10*t^6-10*t^7+ 8*t^8-6*t^9+ 3*t^10-t^11,12.9328587022,1.417582391,7,29,9_38.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_38.png
9_39,9,-t^(-8)+ 3*t^(-7)-6*t^(-6)+ 8*t^(-5)-9*t^(-4)+ 10*t^(-3)-8*t^(-2)+ 6*t^(-1)-3+ t,12.8103100033,1.430371399,7,29,9_39.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_39.png
9_40,9,-t^(-2)+ 5*t^(-1)-8+ 11*t-13*t^2+ 13*t^3-11*t^4+ 8*t^5-4*t^6+ t^7,15.0183428578,1.582347184,7,31,9_40.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_40.png
9_41,9,t^(-6)-3*t^(-5)+ 5*t^(-4)-7*t^(-3)+ 8*t^(-2)-8*t^(-1)+ 8-5*t+ 3*t^2-t^3,12.0989360259,1.618033989,7,31,9_41.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_41.png
9_42,9,t^(-3)-t^(-2)+ t^(-1)-1+ t-t^2+ t^3,4.0568602242,1.553898243,7,29,9_42.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_42.png
9_43,9,1-t+ 2*t^2-2*t^3+ 2*t^4-2*t^5+ 2*t^6-t^7,5.9040858585,1.492732816,7,29,9_43.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_43.png
9_44,9,t^(-2)-2*t^(-1)+ 3-3*t+ 3*t^2-2*t^3+ 2*t^4-t^5,7.4067675723,1.363396072,7,29,9_44.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_44.png
9_45,9,-t^(-8)+ 2*t^(-7)-3*t^(-6)+ 4*t^(-5)-4*t^(-4)+ 4*t^(-3)-3*t^(-2)+ 2*t^(-1),8.6020311664,1.37004781,7,29,9_45.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_45.png
9_46,9,t^(-6)-t^(-5)+ t^(-4)-2*t^(-3)+ t^(-2)-t^(-1)+ 2,4.7517019655,1.806878752,6,27,9_46.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_46-mt.png
9_47,9,-t^(-2)+ 3*t^(-1)-3+ 5*t-5*t^2+ 4*t^3-4*t^4+ 2*t^5,10.0499578612,1.556030191,7,29,9_47.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_47.png
9_48,9,-2*t^(-6)+ 3*t^(-5)-4*t^(-4)+ 6*t^(-3)-4*t^(-2)+ 4*t^(-1)-3+ t,9.5318798358,1.356203066,6,27,9_48.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_48-mt.png
9_49,9,t^2-2*t^3+ 4*t^4-4*t^5+ 5*t^6-4*t^7+ 3*t^8-2*t^9,9.4270736277,1.52470258,7,29,9_49.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/9_49.png
10_1,10,t^(-2)-t^(-1)+ 2-2*t+ 2*t^2-2*t^3+ 2*t^4-2*t^5+ t^6-t^7+ t^8,3.5261959907,1.366191161,6,27,10_001.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_001-mt.png
10_2,10,t-t^2+ 2*t^3-2*t^4+ 3*t^5-3*t^6+ 3*t^7-3*t^8+ 2*t^9-2*t^10+ t^11,5.1148414603,1.383682411,6,27,10_002.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_002.png
10_3,10,t^(-4)-t^(-3)+ 2*t^(-2)-3*t^(-1)+ 4-4*t+ 3*t^2-3*t^3+ 2*t^4-t^5+ t^6,5.7321047867,1.534845531,6,27,10_003.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_003-mt.png
10_4,10,t^(-5)-2*t^(-4)+ 3*t^(-3)-3*t^(-2)+ 4*t^(-1)-4+ 3*t-3*t^2+ 2*t^3-t^4+ t^5,5.8171296928,1.530559066,6,27,10_004.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_004.png
10_5,10,-t^(-9)+ 2*t^(-8)-3*t^(-7)+ 4*t^(-6)-5*t^(-5)+ 5*t^(-4)-4*t^(-3)+ 4*t^(-2)-2*t^(-1)+ 2-t,7.3739351342,1.269457211,7,27,10_005.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_005-mt.png
10_6,10,1-t+ 3*t^2-4*t^3+ 5*t^4-6*t^5+ 6*t^6-5*t^7+ 3*t^8-2*t^9+ t^10,8.3909376067,1.262997794,7,27,10_006.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_006-mt.png
10_7,10,t^(-1)-2+ 4*t-5*t^2+ 7*t^3-7*t^4+ 6*t^5-5*t^6+ 3*t^7-2*t^8+ t^9,9.1159063956,1.284710432,7,27,10_007.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_007-mt.png
10_8,10,t^(-2)-t^(-1)+ 2-3*t+ 4*t^2-4*t^3+ 4*t^4-4*t^5+ 3*t^6-2*t^7+ t^8,6.0832348370,1.658011275,7,27,10_008.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_008.png
10_9,10,t^(-3)-2*t^(-2)+ 3*t^(-1)-4+ 6*t-6*t^2+ 6*t^3-5*t^4+ 3*t^5-2*t^6+ t^7,8.2940996752,1.427083734,7,27,10_009.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_009-mt.png
10_10,10,-t^(-7)+ 2*t^(-6)-3*t^(-5)+ 5*t^(-4)-6*t^(-3)+ 7*t^(-2)-7*t^(-1)+ 6-4*t+ 3*t^2-t^3,9.1805736441,1.282900099,7,27,10_010.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_010.png
10_11,10,t^(-3)-t^(-2)+ 3*t^(-1)-5+ 6*t-7*t^2+ 7*t^3-6*t^4+ 4*t^5-2*t^6+ t^7,9.3704424413,1.380226141,6,27,10_011.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_011-m.png
10_12,10,-t^(-8)+ 2*t^(-7)-4*t^(-6)+ 6*t^(-5)-7*t^(-4)+ 8*t^(-3)-7*t^(-2)+ 6*t^(-1)-3+ 2*t-t^2,9.8174951906,1.316651839,6,27,10_012.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_012-mt.png
10_13,10,t^(-4)-2*t^(-3)+ 5*t^(-2)-7*t^(-1)+ 8-9*t+ 8*t^2-6*t^3+ 4*t^4-2*t^5+ t^6,10.5784801904,1.244713024,7,27,10_013.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_013-mt.png
10_14,10,1-2*t+ 4*t^2-6*t^3+ 9*t^4-9*t^5+ 9*t^6-8*t^7+ 5*t^8-3*t^9+ t^10,10.9376894144,1.258695373,7,27,10_014.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_014-mt.png
10_15,10,-t^(-6)+ 2*t^(-5)-4*t^(-4)+ 6*t^(-3)-6*t^(-2)+ 7*t^(-1)-6+ 5*t-3*t^2+ 2*t^3-t^4,8.9734493260,1.288935639,7,27,10_015.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_015-mt.png
10_16,10,t^(-3)-2*t^(-2)+ 4*t^(-1)-5+ 7*t-8*t^2+ 7*t^3-6*t^4+ 4*t^5-2*t^6+ t^7,9.5466423050,1.385302698,7,27,10_016.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_016-mt.png
10_17,10,-t^(-5)+ 2*t^(-4)-3*t^(-3)+ 5*t^(-2)-6*t^(-1)+ 7-6*t+ 5*t^2-3*t^3+ 2*t^4-t^5,8.5367555991,1.59411144,7,27,10_017.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_017-mt.png
10_18,10,t^(-3)-2*t^(-2)+ 4*t^(-1)-6+ 8*t-9*t^2+ 9*t^3-7*t^4+ 5*t^5-3*t^6+ t^7,10.6398442712,1.245552659,7,27,10_018.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_018-mt.png
10_19,10,-t^(-4)+ 2*t^(-3)-3*t^(-2)+ 6*t^(-1)-7+ 8*t-8*t^2+ 7*t^3-5*t^4+ 3*t^5-t^6,9.8447713026,1.461466984,7,27,10_019.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_019.png
10_20,10,t^(-1)-1+ 3*t-4*t^2+ 5*t^3-6*t^4+ 5*t^5-4*t^6+ 3*t^7-2*t^8+ t^9,8.3173787184,1.322309264,6,27,10_020.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_020-m.png
10_21,10,1-2*t+ 4*t^2-5*t^3+ 7*t^4-7*t^5+ 7*t^6-6*t^7+ 3*t^8-2*t^9+ t^10,9.6751411441,1.345687364,6,27,10_021.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_021-m.png
10_22,10,t^(-4)-2*t^(-3)+ 4*t^(-2)-6*t^(-1)+ 8-8*t+ 7*t^2-6*t^3+ 4*t^4-2*t^5+ t^6,9.9818665178,1.373749841,6,27,10_022.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_022-mt.png
10_23,10,-t^(-8)+ 2*t^(-7)-4*t^(-6)+ 7*t^(-5)-9*t^(-4)+ 10*t^(-3)-9*t^(-2)+ 8*t^(-1)-5+ 3*t-t^2,11.3932246348,1.256462362,7,29,10_023.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_023.png
10_24,10,t^(-1)-2+ 5*t-7*t^2+ 9*t^3-9*t^4+ 8*t^5-7*t^6+ 4*t^7-2*t^8+ t^9,10.9774547368,1.26737942,7,27,10_024.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/10_024-mt.png
